ensembl_gene_id	external_gene_name	gene_biotype	description
FBgn0259849	Su(Ste):CR42418	lincRNA	Su(Ste):CR42418 [Source:FlyBase gene name;Acc:FBgn0259849]
FBgn0267291	CR45727	lincRNA	
FBgn0266052	CR44817	lincRNA	
FBgn0267629	CR45967	lincRNA	
FBgn0266787	CR45252	lincRNA	
FBgn0265722	CR44529	lincRNA	
FBgn0264787	CR44017	lincRNA	
FBgn0267663	CR46001	lincRNA	
FBgn0263507	CR43496	lincRNA	
FBgn0266223	CR44918	lincRNA	
FBgn0265467	CR44360	lincRNA	
FBgn0265859	CR44648	lincRNA	
FBgn0266203	CR44898	lincRNA	
FBgn0263615	CR43624	lincRNA	
FBgn0264678	CR43963	lincRNA	
FBgn0267212	CR45652	lincRNA	
FBgn0267782	CR46113	lincRNA	
FBgn0265639	CR44446	lincRNA	
FBgn0266222	CR44917	lincRNA	
FBgn0263650	CR43641	lincRNA	
FBgn0267697	CR46033	lincRNA	
FBgn0265147	CR44216	lincRNA	
FBgn0267149	CR45589	lincRNA	
FBgn0265074	CR44185	lincRNA	
FBgn0266010	CR44783	lincRNA	
FBgn0267747	CR46078	lincRNA	
FBgn0267189	CR45629	lincRNA	
FBgn0266764	CR45229	lincRNA	
FBgn0265162	CR44231	lincRNA	
FBgn0266069	CR44822	lincRNA	
FBgn0267554	CR45894	lincRNA	
FBgn0267654	CR45992	lincRNA	
FBgn0265750	CR44557	lincRNA	
FBgn0266225	CR44920	lincRNA	
FBgn0267127	CR45567	lincRNA	
FBgn0267656	CR45994	lincRNA	
FBgn0265710	CR44517	lincRNA	
FBgn0263334	CR43415	lincRNA	
FBgn0263405	CR43451	lincRNA	
FBgn0265944	CR44731	lincRNA	
FBgn0265687	CR44494	lincRNA	
FBgn0267757	CR46088	lincRNA	
FBgn0266624	CR45131	lincRNA	
FBgn0266912	CR45372	lincRNA	
FBgn0267277	CR45713	lincRNA	
FBgn0267473	CR45823	lincRNA	
FBgn0259936	Uhg3	lincRNA	Uhg3 [Source:FlyBase gene name;Acc:FBgn0259936]
FBgn0265921	CR44710	lincRNA	
FBgn0259857	Su(Ste):CR42426	lincRNA	Su(Ste):CR42426 [Source:FlyBase gene name;Acc:FBgn0259857]
FBgn0267011	CR45455	lincRNA	
FBgn0267016	CR45460	lincRNA	
FBgn0264509	CR43908	lincRNA	
FBgn0267623	CR45961	lincRNA	
FBgn0264821	CR44029	lincRNA	
FBgn0265756	CR44563	lincRNA	
FBgn0265683	CR44490	lincRNA	
FBgn0266201	CR44896	lincRNA	
FBgn0265738	CR44545	lincRNA	
FBgn0267444	Su(Ste):CR45794	lincRNA	Supressor of Stellate:CR45794 [Source:FlyBase gene name;Acc:FBgn0267444]
FBgn0265999	CR44773	lincRNA	
FBgn0261429	CR42646	lincRNA	
FBgn0265536	CR44386	lincRNA	
FBgn0265958	CR44745	lincRNA	
FBgn0266825	CR45287	lincRNA	
FBgn0267744	CR46075	lincRNA	
FBgn0264900	CR44091	lincRNA	
FBgn0267767	CR46098	lincRNA	
FBgn0265067	CR44178	lincRNA	
FBgn0267069	CR45513	lincRNA	
FBgn0265453	CR44353	lincRNA	
FBgn0263502	CR43491	lincRNA	
